Angle,Time
804.0,3.139
804.8,3.142
805.6,3.145
806.4,3.148
807.2,3.151
808.0,3.154
808.8,3.157
809.6,3.16
810.4,3.163
811.2,3.166
812.0,3.17
812.8,3.173
813.6,3.176
814.4,3.179
815.2,3.182
816.0,3.185
816.8,3.188
817.6,3.191
818.4,3.194
819.2,3.197
820.0,3.2
820.8,3.203
821.6,3.206
822.4,3.209
823.2,3.212
824.0,3.215
824.8,3.218
825.6,3.221
826.4,3.224
827.2,3.227
828.0,3.23
828.8,3.233
829.6,3.236
830.4,3.239
831.2,3.242
832.0,3.246
832.8,3.249
833.6,3.252
834.4,3.255
835.2,3.258
836.0,3.261
836.8,3.264
837.6,3.267
838.4,3.27
839.2,3.273
840.0,3.276
840.8,3.279
841.6,3.282
842.4,3.286
843.2,3.289
844.0,3.292
844.8,3.295
845.6,3.298
846.4,3.301
847.2,3.304
848.0,3.307
848.8,3.31
849.6,3.313
850.4,3.316
851.2,3.32
852.0,3.323
852.8,3.326
853.6,3.329
854.4,3.332
855.2,3.335
856.0,3.338
856.8,3.341
857.6,3.344
858.4,3.347
859.2,3.351
860.0,3.354
860.8,3.357
861.6,3.36
862.4,3.363
863.2,3.366
864.0,3.369
864.8,3.372
865.6,3.375
866.4,3.379
867.2,3.382
868.0,3.385
868.8,3.388
869.6,3.391
870.4,3.394
871.2,3.397
872.0,3.4
872.8,3.403
873.6,3.406
874.4,3.41
875.2,3.413
876.0,3.416
876.8,3.419
877.6,3.422
878.4,3.425
879.2,3.428
880.0,3.431
880.8,3.434
881.6,3.437
882.4,3.44
883.2,3.443
884.0,3.446
884.8,3.449
885.6,3.453
886.4,3.456
887.2,3.459
888.0,3.462
888.8,3.465
889.6,3.468
890.4,3.471
891.2,3.474
892.0,3.477
892.8,3.48
893.6,3.484
894.4,3.487
895.2,3.49
896.0,3.493
896.8,3.496
897.6,3.499
898.4,3.502
899.2,3.505
900.0,3.508
900.8,3.511
901.6,3.514
902.4,3.517
903.2,3.521
904.0,3.524
904.8,3.527
905.6,3.53
906.4,3.533
907.2,3.536
908.0,3.539
908.8,3.542
909.6,3.545
910.4,3.548
911.2,3.551
912.0,3.555
912.8,3.558
913.6,3.561
914.4,3.564
915.2,3.567
916.0,3.57
916.8,3.573
917.6,3.576
918.4,3.579
919.2,3.583
920.0,3.586
920.8,3.589
921.6,3.592
922.4,3.595
923.2,3.598
924.0,3.601
924.8,3.605
925.6,3.608
926.4,3.611
927.2,3.614
928.0,3.617
928.8,3.62
929.6,3.623
930.4,3.626
931.2,3.63
932.0,3.633
932.8,3.636
933.6,3.639
934.4,3.642
935.2,3.645
936.0,3.648
936.8,3.652
937.6,3.655
938.4,3.658
939.2,3.661
940.0,3.664
940.8,3.667
941.6,3.67
942.4,3.673
943.2,3.677
944.0,3.68
944.8,3.683
945.6,3.686
946.4,3.689
947.2,3.692
948.0,3.695
948.8,3.699
949.6,3.702
950.4,3.705
951.2,3.708
952.0,3.711
952.8,3.714
953.6,3.717
954.4,3.721
955.2,3.724
956.0,3.727
956.8,3.73
957.6,3.733
958.4,3.736
959.2,3.739
960.0,3.743
960.8,3.746
961.6,3.749
962.4,3.752
963.2,3.755
964.0,3.758
964.8,3.761
965.6,3.765
966.4,3.768
967.2,3.771
968.0,3.774
968.8,3.777
969.6,3.78
970.4,3.783
971.2,3.786
972.0,3.789
972.8,3.793
973.6,3.796
974.4,3.799
975.2,3.802
976.0,3.805
976.8,3.808
977.6,3.811
978.4,3.815
979.2,3.818
980.0,3.821
980.8,3.824
981.6,3.827
982.4,3.83
983.2,3.833
984.0,3.837
984.8,3.84
985.6,3.843
986.4,3.846
987.2,3.849
988.0,3.852
988.8,3.855
989.6,3.859
990.4,3.862
991.2,3.865
992.0,3.868
992.8,3.871
993.6,3.874
994.4,3.877
995.2,3.881
996.0,3.884
996.8,3.887
997.6,3.89
998.4,3.893
999.2,3.896
1000.0,3.9
1000.8,3.903
1001.6,3.906
1002.4,3.909
1003.2,3.912
1004.0,3.915
1004.8,3.919
1005.6,3.922
1006.4,3.925
1007.2,3.928
1008.0,3.931
1008.8,3.934
1009.6,3.937
1010.4,3.941
1011.2,3.944
1012.0,3.947
1012.8,3.95
1013.6,3.953
1014.4,3.956
1015.2,3.96
1016.0,3.963
1016.8,3.966
1017.6,3.969
1018.4,3.972
1019.2,3.975
1020.0,3.978
1020.8,3.982
1021.6,3.985
1022.4,3.988
1023.2,3.991
1024.0,3.994
1024.8,3.997
1025.6,4.0
1026.4,4.003
1027.2,4.007
1028.0,4.01
1028.8,4.013
1029.6,4.016
1030.4,4.019
1031.2,4.022
1032.0,4.025
1032.8,4.028
1033.6,4.032
1034.4,4.035
1035.2,4.038
1036.0,4.041
1036.8,4.044
1037.6,4.047
1038.4,4.05
1039.2,4.053
1040.0,4.056
1040.8,4.059
1041.6,4.063
1042.4,4.066
1043.2,4.069
1044.0,4.072
1044.8,4.075
1045.6,4.078
1046.4,4.081
1047.2,4.084
1048.0,4.087
1048.8,4.09
1049.6,4.094
1050.4,4.097
1051.2,4.1
1052.0,4.103
1052.8,4.106
1053.6,4.109
1054.4,4.112
1055.2,4.115
1056.0,4.118
1056.8,4.121
1057.6,4.124
1058.4,4.127
1059.2,4.13
1060.0,4.134
1060.8,4.137
1061.6,4.14
1062.4,4.143
1063.2,4.146
1064.0,4.149
1064.8,4.152
1065.6,4.155
1066.4,4.158
1067.2,4.161
1068.0,4.164
1068.8,4.167
1069.6,4.17
1070.4,4.173
1071.2,4.176
1072.0,4.179
1072.8,4.183
1073.6,4.186
1074.4,4.189
1075.2,4.192
1076.0,4.195
1076.8,4.198
1077.6,4.201
1078.4,4.204
1079.2,4.207
1080.0,4.21
1080.8,4.213
1081.6,4.216
1082.4,4.219
1083.2,4.222
1084.0,4.225
1084.8,4.228
1085.6,4.231
1086.4,4.234
1087.2,4.237
1088.0,4.241
1088.8,4.244
1089.6,4.247
1090.4,4.25
1091.2,4.253
1092.0,4.256
1092.8,4.259
1093.6,4.262
1094.4,4.265
1095.2,4.268
1096.0,4.271
1096.8,4.274
1097.6,4.277
1098.4,4.28
1099.2,4.283
1100.0,4.286
1100.8,4.289
1101.6,4.292
1102.4,4.295
1103.2,4.298
1104.0,4.301
1104.8,4.304
1105.6,4.307
1106.4,4.31
1107.2,4.313
1108.0,4.316
1108.8,4.319
1109.6,4.322
1110.4,4.325
1111.2,4.328
1112.0,4.331
1112.8,4.334
1113.6,4.337
1114.4,4.34
1115.2,4.343
1116.0,4.346
1116.8,4.349
1117.6,4.352
1118.4,4.355
1119.2,4.358
1120.0,4.361
1120.8,4.364
1121.6,4.367
1122.4,4.37
1123.2,4.373
1124.0,4.376
1124.8,4.379
1125.6,4.382
1126.4,4.385
1127.2,4.388
1128.0,4.392
1128.8,4.395
1129.6,4.398
1130.4,4.401
1131.2,4.404
1132.0,4.407
1132.8,4.41
1133.6,4.413
1134.4,4.416
1135.2,4.419
1136.0,4.422
1136.8,4.425
1137.6,4.428
1138.4,4.431
1139.2,4.434
1140.0,4.437
1140.8,4.44
1141.6,4.443
1142.4,4.446
1143.2,4.449
1144.0,4.452
1144.8,4.455
1145.6,4.458
1146.4,4.461
1147.2,4.464
1148.0,4.467
1148.8,4.47
1149.6,4.473
1150.4,4.476
1151.2,4.479
1152.0,4.482
1152.8,4.485
1153.6,4.488
1154.4,4.491
1155.2,4.494
1156.0,4.497
1156.8,4.5
1157.6,4.504
1158.4,4.507
1159.2,4.51
1160.0,4.513
1160.8,4.516
1161.6,4.519
1162.4,4.522
1163.2,4.525
1164.0,4.528
1164.8,4.531
1165.6,4.534
1166.4,4.537
1167.2,4.54
1168.0,4.543
1168.8,4.546
1169.6,4.549
1170.4,4.552
1171.2,4.555
1172.0,4.558
1172.8,4.561
1173.6,4.564
1174.4,4.567
1175.2,4.57
1176.0,4.573
1176.8,4.576
1177.6,4.579
1178.4,4.582
1179.2,4.585
1180.0,4.588
1180.8,4.592
1181.6,4.595
1182.4,4.598
1183.2,4.601
1184.0,4.604
1184.8,4.607
1185.6,4.61
1186.4,4.613
1187.2,4.616
1188.0,4.619
1188.8,4.622
1189.6,4.625
1190.4,4.628
1191.2,4.631
1192.0,4.634
1192.8,4.637
1193.6,4.64
1194.4,4.643
1195.2,4.646
1196.0,4.65
1196.8,4.653
1197.6,4.656
1198.4,4.659
1199.2,4.662
1200.0,4.665
1200.8,4.668
1201.6,4.671
1202.4,4.674
1203.2,4.677
1204.0,4.68
1204.8,4.683
1205.6,4.687
1206.4,4.69
1207.2,4.693
1208.0,4.696
1208.8,4.699
1209.6,4.702
1210.4,4.705
1211.2,4.708
1212.0,4.711
1212.8,4.714
1213.6,4.718
1214.4,4.721
1215.2,4.724
1216.0,4.727
1216.8,4.73
1217.6,4.733
1218.4,4.736
1219.2,4.739
1220.0,4.742
1220.8,4.745
1221.6,4.749
1222.4,4.752
1223.2,4.755
1224.0,4.758
1224.8,4.761
1225.6,4.764
1226.4,4.767
1227.2,4.77
1228.0,4.773
1228.8,4.777
1229.6,4.78
1230.4,4.783
1231.2,4.786
1232.0,4.789
1232.8,4.792
1233.6,4.795
1234.4,4.798
1235.2,4.801
1236.0,4.804
1236.8,4.808
1237.6,4.811
1238.4,4.814
1239.2,4.817
1240.0,4.82
1240.8,4.823
1241.6,4.826
1242.4,4.829
1243.2,4.832
1244.0,4.835
1244.8,4.838
1245.6,4.841
1246.4,4.845
1247.2,4.848
1248.0,4.851
1248.8,4.854
1249.6,4.857
1250.4,4.86
1251.2,4.863
1252.0,4.866
1252.8,4.869
1253.6,4.872
1254.4,4.876
1255.2,4.879
1256.0,4.882
1256.8,4.885
1257.6,4.888
1258.4,4.891
1259.2,4.894
1260.0,4.897
1260.8,4.9
1261.6,4.903
1262.4,4.906
1263.2,4.909
1264.0,4.913
1264.8,4.916
1265.6,4.919
1266.4,4.922
1267.2,4.925
1268.0,4.928
1268.8,4.931
1269.6,4.934
1270.4,4.937
1271.2,4.941
1272.0,4.944
1272.8,4.947
1273.6,4.95
1274.4,4.953
1275.2,4.956
1276.0,4.959
1276.8,4.962
1277.6,4.965
1278.4,4.969
1279.2,4.972
1280.0,4.975
1280.8,4.978
1281.6,4.981
1282.4,4.984
1283.2,4.987
1284.0,4.991
1284.8,4.994
1285.6,4.997
1286.4,5.0
1287.2,5.003
1288.0,5.006
1288.8,5.009
1289.6,5.013
1290.4,5.016
1291.2,5.019
1292.0,5.022
1292.8,5.025
1293.6,5.028
1294.4,5.031
1295.2,5.035
1296.0,5.038
1296.8,5.041
1297.6,5.044
1298.4,5.047
1299.2,5.05
1300.0,5.053
1300.8,5.056
1301.6,5.06
1302.4,5.063
1303.2,5.066
1304.0,5.069
1304.8,5.072
1305.6,5.075
1306.4,5.079
1307.2,5.082
1308.0,5.085
1308.8,5.088
1309.6,5.091
1310.4,5.094
1311.2,5.097
1312.0,5.1
1312.8,5.104
1313.6,5.107
1314.4,5.11
1315.2,5.113
1316.0,5.116
1316.8,5.119
1317.6,5.122
1318.4,5.125
1319.2,5.129
1320.0,5.132
1320.8,5.135
1321.6,5.138
1322.4,5.141
1323.2,5.144
1324.0,5.147
1324.8,5.151
1325.6,5.154
1326.4,5.157
1327.2,5.16
1328.0,5.163
1328.8,5.166
1329.6,5.169
1330.4,5.172
1331.2,5.175
1332.0,5.179
1332.8,5.182
1333.6,5.185
1334.4,5.188
1335.2,5.191
1336.0,5.194
1336.8,5.197
1337.6,5.201
1338.4,5.204
1339.2,5.207
1340.0,5.21
1340.8,5.213
1341.6,5.216
1342.4,5.219
1343.2,5.223
1344.0,5.226
1344.8,5.229
1345.6,5.232
1346.4,5.235
1347.2,5.238
1348.0,5.241
1348.8,5.245
1349.6,5.248
1350.4,5.251
1351.2,5.254
