Axis Count Time
T 31783 03171
T 31782 03175
T 31781 03178
T 31780 03181
T 31779 03184
T 31778 03187
T 31777 03190
T 31776 03193
T 31775 03197
T 31774 03200
T 31773 03203
T 31772 03206
T 31771 03209
T 31770 03212
T 31769 03215
T 31768 03218
T 31767 03222
T 31766 03225
T 31765 03228
T 31764 03231
T 31763 03234
T 31762 03237
T 31761 03241
T 31760 03244
T 31759 03247
T 31758 03250
T 31757 03253
T 31756 03257
T 31755 03260
T 31754 03263
T 31753 03266
T 31752 03269
T 31751 03272
T 31750 03275
T 31749 03279
T 31748 03282
T 31747 03285
T 31746 03288
T 31745 03291
T 31744 03294
T 31743 03298
T 31742 03301
T 31741 03304
T 31740 03307
T 31739 03310
T 31738 03313
T 31737 03317
T 31736 03320
T 31735 03323
T 31734 03326
T 31733 03329
T 31732 03332
T 31731 03335
T 31730 03338
T 31729 03341
T 31728 03345
T 31727 03348
T 31726 03351
T 31725 03354
T 31724 03357
T 31723 03360
T 31722 03363
T 31721 03367
T 31720 03370
T 31719 03373
T 31718 03376
T 31717 03379
T 31716 03382
T 31715 03386
T 31714 03389
T 31713 03392
T 31712 03395
T 31711 03398
T 31710 03401
T 31709 03404
T 31708 03408
T 31707 03411
T 31706 03414
T 31705 03417
T 31704 03420
T 31703 03423
T 31702 03426
T 31701 03430
T 31700 03433
T 31699 03436
T 31698 03439
T 31697 03442
T 31696 03445
T 31695 03448
T 31694 03452
T 31693 03455
T 31692 03458
T 31691 03461
T 31690 03464
T 31689 03467
T 31688 03471
T 31687 03474
T 31686 03477
T 31685 03480
T 31684 03483
T 31683 03486
T 31682 03490
T 31681 03493
T 31680 03496
T 31679 03499
T 31678 03502
T 31677 03505
T 31676 03509
T 31675 03512
T 31674 03515
T 31673 03518
T 31672 03521
T 31671 03525
T 31670 03528
T 31669 03531
T 31668 03534
T 31667 03537
T 31666 03540
T 31665 03544
T 31664 03547
T 31663 03550
T 31662 03553
T 31661 03556
T 31660 03560
T 31659 03563
T 31658 03566
T 31657 03569
T 31656 03572
T 31655 03575
T 31654 03579
T 31653 03582
T 31652 03585
T 31651 03588
T 31650 03591
T 31649 03594
T 31648 03598
